BP_Code	oriiginal_line_names_with_errors	Curated_line_names	end-use	hull	Row_Type	Growth_Habit
AB	04AC002-54	04AB002-54	feed	hulled	2	spring
AB	04AC002-75	04AB002-75	malt	hulled	2	spring
AB	04AC003-10	04AB003-10	malt	hulled	2	spring
AB	04AC003-21	04AB003-21	malt	hulled	2	spring
AB	04AC003-59	04AB003-59	malt	hulled	2	spring
AB	04AC010-10	04AB010-10	feed	hulled	6	spring
AB	04AC011-11	04AB011-11	malt	hulled	6	spring
AB	04AC011-7	04AB011-7	malt	hulled	6	spring
AB	04AC013-34	04AB013-34	malt	hulled	2	spring
AB	04AC013-43	04AB013-43	malt	hulled	2	spring
AB	04AC013-79	04AB013-79	malt	hulled	2	spring
AB	04AC016-35	04AB016-35	malt	hulled	2	spring
AB	04AC016-67	04AB016-67	malt	hulled	2	spring
AB	04AC017-6	04AB017-6	malt	hulled	6	spring
AB	04AC017-75	04AB017-75	feed	hulled	6	spring
AB	04AC018-19	04AB018-19	malt	hulled	6	spring
AB	04AC018-39	04AB018-39	malt	hulled	6	spring
AB	04AC021-7	04AB021-7	feed	hulled	6	spring
AB	04AC021-74	04AB021-74	feed	hulled	6	spring
AB	04AC022-27	04AB022-27	malt	hulled	6	spring
AB	04AC022-35	04AB022-35	malt	hulled	6	spring
AB	04AC022-62	04AB022-62	malt	hulled	6	spring
AB	04AC022-75	04AB022-75	malt	hulled	6	spring
AB	04AC022-78	04AB022-78	malt	hulled	6	spring
AB	04AC023-11	04AB023-11	malt	hulled	6	spring
AB	04AC025-15	04AB025-15	malt	hulled	6	spring
AB	04AC025-22	04AB025-22	malt	hulled	6	spring
AB	04AC025-58	04AB025-58	malt	hulled	6	spring
AB	04AC025-62	04AB025-62	feed	hulled	6	spring
AB	04AC028-18	04AB028-18	malt	hulled	2	spring
AB	04AC028-23	04AB028-23	malt	hulled	2	spring
AB	04AC028-73	04AB028-73	malt	hulled	2	spring
AB	04AC029-15	04AB029-15	malt	hulled	2	spring
AB	04AC029-22	04AB029-22	malt	hulled	2	spring
AB	04AC029-30	04AB029-30	malt	hulled	2	spring
AB	04AC029-38	04AB029-38	malt	hulled	2	spring
AB	04AC029-39	04AB029-39	malt	hulled	2	spring
AB	04AC029-58	04AB029-58	malt	hulled	2	spring
AB	04AC030-35	04AB030-35	feed	hulled	6	spring
AB	04AC031-31	04AB031-31	feed	hulled	2	spring
AB	04AC032-23	04AB032-23	malt	hulled	6	spring
AB	04AC033-11	04AB033-11	malt	hulled	2	spring
AB	04AC033-20	04AB033-20	malt	hulled	2	spring
AB	04AC033-58	04AB033-58	malt	hulled	2	spring
AB	04AC033-67	04AB033-67	malt	hulled	2	spring
AB	04AC033-71	04AB033-71	malt	hulled	2	spring
AB	04AC034-62	04AB034-62	malt	hulled	6	spring
AB	04AC035-35	04AB035-35	malt	hulled	2	spring
AB	04AC035-59	04AB035-59	malt	hulled	2	spring
AB	04AC041-70	04AB041-70	malt	hulled	6	spring
AB	04AC041-74	04AB041-74	malt	hulled	6	spring
AB	04AC041-79	04AB041-79	malt	hulled	6	spring
AB	04AC042-31	04AB042-31	malt	hulled	6	spring
AB	04AC045-22	04AB045-22	feed	hulled	2	spring
AB	04AC048-51	04AB048-51	malt	hulled	2	spring
AB	04AC049-6	04AB049-6	malt	hulled	6	spring
AB	04AC050-39	04AB050-39	malt	hulled	6	spring
AB	04AC055-35	04AB055-35	malt	hulled	2	spring
AB	04AC056-71	04AB056-71	malt	hulled	6	spring
AB	04AC056-75	04AB056-75	malt	hulled	6	spring
AB	04AC056-76	04AB056-76	malt	hulled	6	spring
