BP_Code	oriiginal_line_names_with_errors	Curated_line_names	end-use	hull	Row_Type	Growth_Habit
AB	04AC057-7	04AB057-7	feed	hulled	6	spring
AB	04AC058-30	04AB058-30	malt	hulled	6	spring
AB	04AC059-51	04AB059-51	malt	hulled	6	spring
AB	04AC059-55	04AB059-55	malt	hulled	6	spring
AB	04AC060-66	04AB060-66	malt	hulled	6	spring
AB	04AC063-6	04AB063-6	malt	hulled	6	spring
AB	04AC068-67	04AB068-67	malt	hulled	6	spring
AB	04AC071-23	04AB071-23	feed	hulled	6	spring
AB	04AC073-63	04AB073-63	malt	hulled	2	spring
AB	04AC073-71	04AB073-71	feed	hulled	2	spring
AB	04AC073-79	04AB073-79	feed	hulled	2	spring
AB	04AC074-10	04AB074-10	malt	hulled	2	spring
AB	04AC074-15	04AB074-15	malt	hulled	2	spring
AB	04AC074-7	04AB074-7	malt	hulled	2	spring
AB	04AC075-43	04AB075-43	malt	hulled	2	spring
AB	04AC076-75	04AB076-75	feed	hulled	6	spring
AB	04AC080-38	04AB080-38	malt	hulled	6	spring
AB	04AC083-35	04AB083-35	feed	hulled	2	spring
AB	04AC084-67	04AB084-67	feed	hulled	2	spring
AB	04AC085-39	04AB085-39	malt	hulled	6	spring
AB	04AC085-42	04AB085-42	feed	hulled	6	spring
AB	04AC087-27	04AB087-27	malt	hulled	6	spring
AB	04AC088-46	04AB088-46	malt	hulled	2	spring
AB	04AC088-47	04AB088-47	malt	hulled	2	spring
AB	04AC092-34	04AB092-34	malt	hulled	2	spring
AB	04AC093-63	04AB093-63	feed	hulled	2	spring
AB	04AC093-78	04AB093-78	feed	hulled	2	spring
AB	04AC097-10	04AB097-10	feed	hulled	6	spring
AB	04AC097-11	04AB097-11	feed	hulled	6	spring
AB	04AC097-6	04AB097-6	feed	hulled	6	spring
AB	04AC098-34	04AB098-34	malt	hulled	2	spring
AB	04AC098-35	04AB098-35	malt	hulled	2	spring
AB	04AC098-51	04AB098-51	malt	hulled	2	spring
AB	01AC11069	01AB11069	malt	hulled	6	spring
AB	01AC8219	01AB8219	malt	hulled	6	spring
AB	2AC04-X00008-1	2AB04-X00008-1	feed	hulled	2	spring
AB	2AC04-X00017-1	2AB04-X00017-1	feed	hulled	2	spring
AB	2AC04-X00017-4	2AB04-X00017-4	feed	hulled	2	spring
AB	2AC04-X00018-1	2AB04-X00018-1	malt	hulled	2	spring
AB	2AC04-X00018-3	2AB04-X00018-3	malt	hulled	2	spring
AB	2AC04-X00021-1	2AB04-X00021-1	malt	hulled	2	spring
AB	2AC04-X00022-4	2AB04-X00022-4	malt	hulled	2	spring
AB	2AC04-X00026-2	2AB04-X00026-2	malt	hulled	2	spring
AB	2AC04-X00026-3	2AB04-X00026-3	malt	hulled	2	spring
AB	2AC04-X00027-4	2AB04-X00027-4	malt	hulled	2	spring
AB	2AC04-X00027-9	2AB04-X00027-9	malt	hulled	2	spring
AB	2AC04-X00030-2	2AB04-X00030-2	malt	hulled	2	spring
AB	2AC04-X00031-1	2AB04-X00031-1	malt	hulled	2	spring
AB	2AC04-X00102-2	2AB04-X00102-2	malt	hulled	2	spring
AB	2AC04-X00103-4	2AB04-X00103-4	malt	hulled	2	spring
AB	2AC04-X00103-5	2AB04-X00103-5	malt	hulled	2	spring
AB	2AC04-X00104-7	2AB04-X00104-7	malt	hulled	2	spring
AB	2AC04-X00104-8	2AB04-X00104-8	malt	hulled	2	spring
AB	2AC04-X01025-2	2AB04-X01025-2	malt	hulled	2	spring
AB	2AC04-X01027-1	2AB04-X01027-1	malt	hulled	2	spring
AB	2AC04-X01027-2	2AB04-X01027-2	malt	hulled	2	spring
AB	2AC04-X01029-3	2AB04-X01029-3	malt	hulled	2	spring
AB	2AC04-X01029-5	2AB04-X01029-5	malt	hulled	2	spring
AB	2AC04-X01029-7	2AB04-X01029-7	malt	hulled	2	spring
AB	2AC04-X01030-1	2AB04-X01030-1	malt	hulled	2	spring
AB	2AC04-X01033-3	2AB04-X01033-3	malt	hulled	2	spring
AB	2AC04-X01033-6	2AB04-X01033-6	malt	hulled	2	spring
AB	2AC04-X01037-1	2AB04-X01037-1	malt	hulled	2	spring
AB	2AC04-X01039-2	2AB04-X01039-2	malt	hulled	2	spring
AB	2AC04-X01074-5	2AB04-X01074-5	malt	hulled	2	spring
AB	2AC04-X01076-3	2AB04-X01076-3	feed	hulled	2	spring
AB	2AC04-X01082-10	2AB04-X01082-10	malt	hulled	2	spring
AB	2AC04-X01082-12	2AB04-X01082-12	malt	hulled	2	spring
AB	2AC04-X01082-15	2AB04-X01082-15	malt	hulled	2	spring
AB	2AC04-X01082-5	2AB04-X01082-5	malt	hulled	2	spring
AB	2AC04-X01083-9	2AB04-X01083-9	malt	hulled	2	spring
AB	2AC04-X01084-15	2AB04-X01084-15	malt	hulled	2	spring
AB	2AC04-X01084-17	2AB04-X01084-17	malt	hulled	2	spring
AB	2AC04-X01084-26	2AB04-X01084-26	malt	hulled	2	spring
AB	2AC04-X01084-27	2AB04-X01084-27	malt	hulled	2	spring
AB	2AC04-X01084-6	2AB04-X01084-6	malt	hulled	2	spring
AB	2AC04-X01085-13	2AB04-X01085-13	malt	hulled	2	spring
AB	2AC04-X01085-14	2AB04-X01085-14	malt	hulled	2	spring
AB	2AC04-X01085-3	2AB04-X01085-3	malt	hulled	2	spring
AB	2AC04-X01085-6	2AB04-X01085-6	malt	hulled	2	spring
AB	2AC04-X01093-3	2AB04-X01093-3	malt	hulled	2	spring
AB	2AC04-X01093-6	2AB04-X01093-6	malt	hulled	2	spring
AB	2AC04-X01095-10	2AB04-X01095-10	malt	hulled	2	spring
AB	6AC04-X00036-3	6AB04-X00036-3	malt	hulled	6	spring
AB	6AC04-X00038-1	6AB04-X00038-1	malt	hulled	6	spring
AB	6AC04-X00038-3	6AB04-X00038-3	malt	hulled	6	spring
AB	6AC04-X00040-2	6AB04-X00040-2	malt	hulled	6	spring
AB	6AC04-X00045-4	6AB04-X00045-4	malt	hulled	6	spring
AB	6AC04-X00046-1	6AB04-X00046-1	malt	hulled	6	spring
AB	6AC04-X00052-3	6AB04-X00052-3	malt	hulled	6	spring
AB	6AC04-X00054-3	6AB04-X00054-3	malt	hulled	6	spring
AB	6AC04-X00062-3	6AB04-X00062-3	malt	hulled	6	spring
AB	6AC04-X00063-2	6AB04-X00063-2	malt	hulled	6	spring
AB	6AC04-X00069-1	6AB04-X00069-1	malt	hulled	6	spring
AB	6AC04-X00070-4	6AB04-X00070-4	malt	hulled	6	spring
AB	6AC04-X00071-2	6AB04-X00071-2	malt	hulled	6	spring
AB	6AC04-X00123-9	6AB04-X00123-9	malt	hulled	6	spring
AB	6AC04-X00126-3	6AB04-X00126-3	malt	hulled	6	spring
AB	6AC04-X00129-4	6AB04-X00129-4	malt	hulled	6	spring
AB	6AC04-X00129-6	6AB04-X00129-6	malt	hulled	6	spring
AB	6AC04-X00129-8	6AB04-X00129-8	malt	hulled	6	spring
AB	6AC04-X01003-2	6AB04-X01003-2	malt	hulled	6	spring
AB	6AC04-X01004-3	6AB04-X01004-3	malt	hulled	6	spring
AB	6AC04-X01004-4	6AB04-X01004-4	malt	hulled	6	spring
AB	6AC04-X01005-2	6AB04-X01005-2	malt	hulled	6	spring
AB	6AC04-X01006-4	6AB04-X01006-4	malt	hulled	6	spring
AB	6AC04-X01008-1	6AB04-X01008-1	malt	hulled	6	spring
AB	6AC04-X01008-2	6AB04-X01008-2	malt	hulled	6	spring
AB	6AC04-X01008-3	6AB04-X01008-3	malt	hulled	6	spring
AB	6AC04-X01012-7	6AB04-X01012-7	malt	hulled	6	spring
AB	6AC04-X01012-8	6AB04-X01012-8	malt	hulled	6	spring
AB	6AC04-X01015-11	6AB04-X01015-11	malt	hulled	6	spring
AB	6AC04-X01019-1	6AB04-X01019-1	malt	hulled	6	spring
AB	6AC04-X01019-2	6AB04-X01019-2	malt	hulled	6	spring
AB	6AC04-X01019-3	6AB04-X01019-3	malt	hulled	6	spring
AB	6AC04-X01022-1	6AB04-X01022-1	feed	hulled	6	spring
AB	6AC04-X01024-1	6AB04-X01024-1	malt	hulled	6	spring
AB	6AC04-X01024-3	6AB04-X01024-3	malt	hulled	6	spring
AB	6AC04-X01048-2	6AB04-X01048-2	malt	hulled	6	spring
AB	6AC04-X01048-3	6AB04-X01048-3	malt	hulled	6	spring
AB	6AC04-X01050-6	6AB04-X01050-6	malt	hulled	6	spring
AB	6AC04-X01075-3	6AB04-X01075-3	feed	hulled	6	spring
AB	6AC04-X01077-15	6AB04-X01077-15	malt	hulled	6	spring
AB	6AC04-X01077-4	6AB04-X01077-4	malt	hulled	6	spring
AB	6AC04-X01077-7	6AB04-X01077-7	malt	hulled	6	spring
AB	6AC04-X01077-9	6AB04-X01077-9	malt	hulled	6	spring
AB	6AC04-X01086-1	6AB04-X01086-1	malt	hulled	6	spring
AB	98AC12905	98AB12905	malt	hulled	6	spring
AB	99AC11215	99AB11215	feed	hulled	6	spring
AB	2AC07-X020010-50	2AB07-X020010-50	malt	0	2	spring
AB	2AC07-X02001-2	2AB07-X02001-2	feed	0	2	spring
AB	2AC07-X02001-21	2AB07-X02001-21	feed	0	2	spring
AB	2AC07-X020013-31	2AB07-X020013-31	malt	0	2	spring
AB	2AC07-X020013-53	2AB07-X020013-53	malt	0	2	spring
AB	2AC07-X020014-15	2AB07-X020014-15	malt	0	2	spring
AB	2AC07-X020014-42	2AB07-X020014-42	malt	0	2	spring
AB	2AC07-X020020-34	2AB07-X020020-34	feed	0	2	spring
AB	2AC07-X020021-16	2AB07-X020021-16	malt	0	2	spring
AB	2AC07-X020021-49	2AB07-X020021-49	malt	0	2	spring
AB	2AC07-X02005-45	2AB07-X02005-45	feed	0	2	spring
AB	2AC07-X030091-3	2AB07-X030091-3	feed	0	2	spring
AB	2AC07-X030091-34	2AB07-X030091-34	feed	0	2	spring
AB	2AC07-X030109-39	2AB07-X030109-39	feed	0	2	spring
AB	2AC07-X030154-25	2AB07-X030154-25	feed	0	2	spring
AB	2AC07-X030154-35	2AB07-X030154-35	feed	0	2	spring
AB	2AC07-X030154-37	2AB07-X030154-37	feed	0	2	spring
AB	2AC07-X031083-19	2AB07-X031083-19	feed	0	2	spring
AB	2AC07-X031083-28	2AB07-X031083-28	feed	0	2	spring
AB	2AC07-X031088-11	2AB07-X031088-11	malt	0	2	spring
AB	2AC07-X031088-31	2AB07-X031088-31	malt	0	2	spring
AB	2AC07-X031088-33	2AB07-X031088-33	malt	0	2	spring
AB	2AC07-X031098-31	2AB07-X031098-31	malt	0	2	spring
AB	2AC07-X031098-38	2AB07-X031098-38	malt	0	2	spring
AB	2AC07-X031122-21	2AB07-X031122-21	malt	0	2	spring
AB	2AC07-X031122-26	2AB07-X031122-26	malt	0	2	spring
AB	2AC07-X031123-36	2AB07-X031123-36	malt	0	2	spring
AB	2AC07-X031123-44	2AB07-X031123-44	malt	0	2	spring
AB	2AC07-X031170-21	2AB07-X031170-21	malt	0	2	spring
AB	2AC07-X031170-28	2AB07-X031170-28	malt	0	2	spring
AB	2AC07-X04M114-21	2AB07-X04M114-21	malt	0	2	spring
AB	2AC07-X04M114-25	2AB07-X04M114-25	malt	0	2	spring
AB	2AC07-X04M114-46	2AB07-X04M114-46	malt	0	2	spring
AB	2AC07-X04M120-10	2AB07-X04M120-10	malt	0	2	spring
AB	2AC07-X04M120-23	2AB07-X04M120-23	malt	0	2	spring
AB	2AC07-X04M122-15	2AB07-X04M122-15	malt	0	2	spring
AB	2AC07-X04M122-47	2AB07-X04M122-47	malt	0	2	spring
AB	2AC07-X04M203-7	2AB07-X04M203-7	malt	0	2	spring
AB	2AC07-X04M207-1	2AB07-X04M207-1	malt	0	2	spring
AB	2AC07-X04M207-18	2AB07-X04M207-18	malt	0	2	spring
AB	2AC07-X04M210-29	2AB07-X04M210-29	feed	0	2	spring
AB	2AC07-X04M210-36	2AB07-X04M210-36	feed	0	2	spring
AB	2AC07-X04M219-14	2AB07-X04M219-14	malt	0	2	spring
AB	2AC07-X04M219-46	2AB07-X04M219-46	malt	0	2	spring
AB	2AC07-X04M281-32	2AB07-X04M281-32	malt	0	2	spring
AB	2AC07-X04M281-8	2AB07-X04M281-8	malt	0	2	spring
AB	2AC07-X04M283-11	2AB07-X04M283-11	malt	0	2	spring
AB	2AC07-X04M283-41	2AB07-X04M283-41	malt	0	2	spring
AB	6AC07-X020026-52	6AB07-X020026-52	malt	0	6	spring
AB	6AC07-X020027-15	6AB07-X020027-15	malt	0	6	spring
AB	6AC07-X020027-6	6AB07-X020027-6	malt	0	6	spring
AB	6AC07-X020028-39	6AB07-X020028-39	malt	0	6	spring
AB	6AC07-X020028-48	6AB07-X020028-48	malt	0	6	spring
AB	6AC07-X020028-52	6AB07-X020028-52	malt	0	6	spring
AB	6AC07-X020029-24	6AB07-X020029-24	malt	0	6	spring
AB	6AC07-X020029-41	6AB07-X020029-41	malt	0	6	spring
AB	6AC07-X020029-5	6AB07-X020029-5	malt	0	6	spring
AB	6AC07-X020031-3	6AB07-X020031-3	malt	0	6	spring
AB	6AC07-X020031-30	6AB07-X020031-30	malt	0	6	spring
AB	6AC07-X020031-38	6AB07-X020031-38	malt	0	6	spring
AB	6AC07-X020031-4	6AB07-X020031-4	malt	0	6	spring
AB	6AC07-X020032-27	6AB07-X020032-27	malt	0	6	spring
AB	6AC07-X020032-46	6AB07-X020032-46	malt	0	6	spring
AB	6AC07-X020032-49	6AB07-X020032-49	malt	0	6	spring
AB	6AC07-X020034-16	6AB07-X020034-16	malt	0	6	spring
AB	6AC07-X020034-36	6AB07-X020034-36	malt	0	6	spring
AB	6AC07-X020034-43	6AB07-X020034-43	malt	0	6	spring
AB	6AC07-X020037-51	6AB07-X020037-51	feed	0	6	spring
AB	6AC07-X020037-7	6AB07-X020037-7	feed	0	6	spring
AB	6AC07-X020039-2	6AB07-X020039-2	feed	0	6	spring
AB	6AC07-X020039-23	6AB07-X020039-23	feed	0	6	spring
AB	6AC07-X020040-26	6AB07-X020040-26	malt	0	6	spring
AB	6AC07-X020040-43	6AB07-X020040-43	malt	0	6	spring
AB	6AC07-X020041-36	6AB07-X020041-36	malt	0	6	spring
AB	6AC07-X020041-40	6AB07-X020041-40	malt	0	6	spring
AB	6AC07-X020041-44	6AB07-X020041-44	malt	0	6	spring
AB	6AC07-X020042-28	6AB07-X020042-28	malt	0	6	spring
AB	6AC07-X020042-4	6AB07-X020042-4	malt	0	6	spring
AB	6AC07-X020042-41	6AB07-X020042-41	malt	0	6	spring
AB	6AC07-X020044-10	6AB07-X020044-10	malt	0	6	spring
AB	6AC07-X020044-26	6AB07-X020044-26	malt	0	6	spring
AB	6AC07-X020045-30	6AB07-X020045-30	malt	0	6	spring
AB	6AC07-X020045-33	6AB07-X020045-33	malt	0	6	spring
AB	6AC07-X020047-43	6AB07-X020047-43	malt	0	6	spring
AB	6AC07-X020047-50	6AB07-X020047-50	malt	0	6	spring
AB	6AC07-X020047-51	6AB07-X020047-51	malt	0	6	spring
AB	6AC07-X020047-7	6AB07-X020047-7	malt	0	6	spring
AB	6AC07-X04M199-28	6AB07-X04M199-28	malt	0	6	spring
AB	6AC07-X04M199-40	6AB07-X04M199-40	malt	0	6	spring
AB	6AC07-X04M199-48	6AB07-X04M199-48	malt	0	6	spring
AB	6AC07-X04M248-16	6AB07-X04M248-16	malt	0	6	spring
AB	6AC07-X04M248-43	6AB07-X04M248-43	malt	0	6	spring
AB	6AC07-X04M286-10	6AB07-X04M286-10	malt	0	6	spring
AB	6AC07-X04M286-19	6AB07-X04M286-19	malt	0	6	spring
AB	6AC07-X04M286-3	6AB07-X04M286-3	malt	0	6	spring
AB	6AC07-X04M286-9	6AB07-X04M286-9	malt	0	6	spring
AB	2AC08-04LPA2-33	2AB08-04LPA2-33	0	0	2	spring
AB	2AC08-06HR1285-17	2AB08-06HR1285-17	0	0	2	spring
AB	2AC08-06HR1285-2	2AB08-06HR1285-2	0	0	2	spring
AB	2AC08-06HR1285-52	2AB08-06HR1285-52	0	0	2	spring
AB	2AC08-06HR3509-10	2AB08-06HR3509-10	0	0	2	spring
AB	2AC08-06HR3529-10	2AB08-06HR3529-10	0	0	2	spring
AB	2AC08-06HR3529-38	2AB08-06HR3529-38	0	0	2	spring
AB	2AC08-06HR4137-15	2AB08-06HR4137-15	0	0	2	spring
AB	2AC08-06HR4137-2	2AB08-06HR4137-2	0	0	2	spring
AB	2AC08-06HR4137-9	2AB08-06HR4137-9	0	0	2	spring
AB	2AC08-X04F001-13	2AB08-X04F001-13	0	0	2	spring
AB	2AC08-X04F006-19	2AB08-X04F006-19	0	0	2	spring
AB	2AC08-X04F013-26	2AB08-X04F013-26	0	0	2	spring
AB	2AC08-X04F017-3	2AB08-X04F017-3	0	0	2	spring
AB	2AC08-X04F023-4	2AB08-X04F023-4	0	0	2	spring
AB	2AC08-X04F024-3	2AB08-X04F024-3	0	0	2	spring
AB	2AC08-X04F026-21	2AB08-X04F026-21	0	0	2	spring
AB	2AC08-X04F027-19	2AB08-X04F027-19	0	0	2	spring
AB	2AC08-X04F027-8	2AB08-X04F027-8	0	0	2	spring
AB	2AC08-X04F067-4	2AB08-X04F067-4	0	0	2	spring
AB	2AC08-X04F074-16	2AB08-X04F074-16	0	0	2	spring
AB	2AC08-X04F078-17	2AB08-X04F078-17	0	0	2	spring
AB	2AC08-X04F080-28	2AB08-X04F080-28	0	0	2	spring
AB	2AC08-X04F088-15	2AB08-X04F088-15	0	0	2	spring
AB	2AC08-X04F088-27	2AB08-X04F088-27	0	0	2	spring
AB	2AC08-X04F109-53	2AB08-X04F109-53	0	0	2	spring
AB	2AC08-X04M113-29	2AB08-X04M113-29	0	0	2	spring
AB	2AC08-X04M116-11	2AB08-X04M116-11	0	0	2	spring
AB	2AC08-X04M116-47	2AB08-X04M116-47	0	0	2	spring
AB	2AC08-X04M132-1	2AB08-X04M132-1	0	0	2	spring
AB	2AC08-X04M132-32	2AB08-X04M132-32	0	0	2	spring
AB	2AC08-X04M132-48	2AB08-X04M132-48	0	0	2	spring
AB	2AC08-X04M176-53	2AB08-X04M176-53	0	0	2	spring
AB	2AC08-X04M278-10	2AB08-X04M278-10	0	0	2	spring
AB	2AC08-X04M278-55	2AB08-X04M278-55	0	0	2	spring
AB	2AC08-X04M282-16	2AB08-X04M282-16	0	0	2	spring
AB	2AC08-X04M282-52	2AB08-X04M282-52	0	0	2	spring
AB	2AC08-X05F014-8	2AB08-X05F014-8	0	0	2	spring
AB	2AC08-X05F028-3	2AB08-X05F028-3	0	0	2	spring
AB	2AC08-X05F030-29	2AB08-X05F030-29	0	0	2	spring
AB	2AC08-X05F030-54	2AB08-X05F030-54	0	0	2	spring
AB	2AC08-X05F030-8	2AB08-X05F030-8	0	0	2	spring
AB	2AC08-X05F042-1	2AB08-X05F042-1	0	0	2	spring
AB	2AC08-X05F042-18	2AB08-X05F042-18	0	0	2	spring
AB	2AC08-X05F042-33	2AB08-X05F042-33	0	0	2	spring
AB	2AC08-X05F042-46	2AB08-X05F042-46	0	0	2	spring
AB	2AC08-X05F042-49	2AB08-X05F042-49	0	0	2	spring
AB	2AC08-X05F061-27	2AB08-X05F061-27	0	0	2	spring
AB	2AC08-X05F061-34	2AB08-X05F061-34	0	0	2	spring
AB	2AC08-X05F061-38	2AB08-X05F061-38	0	0	2	spring
AB	2AC08-X05F061-42	2AB08-X05F061-42	0	0	2	spring
AB	2AC08-X05F061-7	2AB08-X05F061-7	0	0	2	spring
AB	2AC08-X05F064-37	2AB08-X05F064-37	0	0	2	spring
AB	2AC08-X05F064-44	2AB08-X05F064-44	0	0	2	spring
AB	2AC08-X05F065-12	2AB08-X05F065-12	0	0	2	spring
AB	2AC08-X05F065-15	2AB08-X05F065-15	0	0	2	spring
AB	2AC08-X05F065-20	2AB08-X05F065-20	0	0	2	spring
AB	2AC08-X05F065-21	2AB08-X05F065-21	0	0	2	spring
AB	2AC08-X05F065-25	2AB08-X05F065-25	0	0	2	spring
AB	2AC08-X05F075-44	2AB08-X05F075-44	0	0	2	spring
AB	2AC08-X05F075-7	2AB08-X05F075-7	0	0	2	spring
AB	2AC08-X05M006-32	2AB08-X05M006-32	0	0	2	spring
AB	2AC08-X05M010-39	2AB08-X05M010-39	0	0	2	spring
AB	2AC08-X05M010-7	2AB08-X05M010-7	0	0	2	spring
AB	2AC08-X05M010-80	2AB08-X05M010-80	0	0	2	spring
AB	2AC08-X05M010-86	2AB08-X05M010-86	0	0	2	spring
AB	2AC08-X05M011-36	2AB08-X05M011-36	0	0	2	spring
AB	2AC08-X05M011-4	2AB08-X05M011-4	0	0	2	spring
AB	2AC08-X05M011-46	2AB08-X05M011-46	0	0	2	spring
AB	2AC08-X05M011-64	2AB08-X05M011-64	0	0	2	spring
AB	2AC08-X05M012-50	2AB08-X05M012-50	0	0	2	spring
AB	2AC08-X05M012-78	2AB08-X05M012-78	0	0	2	spring
AB	2AC08-X05M027-18	2AB08-X05M027-18	0	0	2	spring
AB	2AC08-X05M027-30	2AB08-X05M027-30	0	0	2	spring
AB	2AC08-X05M027-69	2AB08-X05M027-69	0	0	2	spring
AB	2AC08-X05M027-94	2AB08-X05M027-94	0	0	2	spring
AB	2AC08-X05M028-12	2AB08-X05M028-12	0	0	2	spring
AB	2AC08-X05M028-55	2AB08-X05M028-55	0	0	2	spring
AB	2AC08-X05M028-61	2AB08-X05M028-61	0	0	2	spring
AB	2AC08-X05M028-76	2AB08-X05M028-76	0	0	2	spring
AB	2AC08-X05M030-40	2AB08-X05M030-40	0	0	2	spring
AB	2AC08-X05M030-72	2AB08-X05M030-72	0	0	2	spring
AB	2AC08-X05M030-73	2AB08-X05M030-73	0	0	2	spring
AB	2AC08-X05M031-14	2AB08-X05M031-14	0	0	2	spring
AB	2AC08-X05M031-47	2AB08-X05M031-47	0	0	2	spring
AB	2AC08-X05M031-59	2AB08-X05M031-59	0	0	2	spring
AB	2AC08-X05M031-68	2AB08-X05M031-68	0	0	2	spring
AB	2AC08-X05M038-41	2AB08-X05M038-41	0	0	2	spring
AB	2AC08-X05M038-60	2AB08-X05M038-60	0	0	2	spring
AB	2AC08-X05M039-29	2AB08-X05M039-29	0	0	2	spring
AB	2AC08-X05M039-31	2AB08-X05M039-31	0	0	2	spring
AB	2AC08-X05M041-24	2AB08-X05M041-24	0	0	2	spring
AB	2AC08-X05M041-48	2AB08-X05M041-48	0	0	2	spring
AB	2AC08-X05M041-52	2AB08-X05M041-52	0	0	2	spring
AB	2AC08-X05M046-21	2AB08-X05M046-21	0	0	2	spring
AB	2AC08-X05M047-3	2AB08-X05M047-3	0	0	2	spring
BA	2B00-0089E	2B00-0089E	malt	hulled	2	spring
BA	2B00-0089M	2B00-0089M	malt	hulled	2	spring
BA	2B00-0342	2B00-0342	malt	hulled	2	spring
BA	2B01-2010	2B01-2010	malt	hulled	2	spring
BA	2B01-2015	2B01-2015	malt	hulled	2	spring
BA	2B02-2925	2B02-2925	malt	hulled	2	spring
BA	2B02-2941	2B02-2941	malt	hulled	2	spring
BA	2B03-3560	2B03-3560	malt	hulled	2	spring
BA	2B03-3604	2B03-3604	malt	hulled	2	spring
BA	2B03-3625	2B03-3625	malt	hulled	2	spring
BA	2B03-3631	2B03-3631	malt	hulled	2	spring
BA	2B03-3669	2B03-3669	malt	hulled	2	spring
BA	2B03-3681	2B03-3681	malt	hulled	2	spring
BA	2B03-3719	2B03-3719	malt	hulled	2	spring
BA	2B03-3732	2B03-3732	malt	hulled	2	spring
BA	2B03-3734	2B03-3734	malt	hulled	2	spring
BA	2B03-3785	2B03-3785	malt	hulled	2	spring
BA	2B03-3830	2B03-3830	malt	hulled	2	spring
BA	2B03-3859	2B03-3859	malt	hulled	2	spring
BA	2B03-3882	2B03-3882	malt	hulled	2	spring
BA	2B03-3883	2B03-3883	malt	hulled	2	spring
BA	2B03-3903	2B03-3903	malt	hulled	2	spring
BA	2B03-3954	2B03-3954	malt	hulled	2	spring
BA	2B97-4299-8	2B97-4299-8	malt	hulled	2	spring
BA	2B99-2316	2B99-2316	malt	hulled	2	spring
BA	2B99-2316-4	2B99-2316-4	malt	hulled	2	spring
